epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67155,2.95474,6.51526,2.16163,0,0,0,0,3.25243,4.67085,2.17826,4.287e-05,4.287e-05,4.287e-05
2,4.30195,3.14239,6.61168,2.09034,0,0,0,0,2.99476,4.64856,1.91426,9.93698e-05,9.93698e-05,9.93698e-05
3,6.07814,2.90828,6.05125,1.91707,0,0,0,0,2.91165,4.43844,1.65706,0.000155115,0.000155115,0.000155115
4,7.98565,2.51162,5.01346,1.53987,0.00112,0.07407,0.00026,7e-05,2.22706,4.13942,1.29162,0.000210106,0.000210106,0.000210106
5,10.2096,2.27469,4.41422,1.47755,0.00106,0.07407,0.00025,8e-05,2.21118,4.07314,1.24446,0.000264342,0.000264342,0.000264342
6,12.099,2.29952,4.01083,1.41916,0.00125,0.13889,0.00039,0.0002,2.09898,3.98809,1.19012,0.000317824,0.000317824,0.000317824
7,13.8571,2.22593,3.51231,1.35469,0.00128,0.16667,0.0006,0.0003,2.06386,3.90702,1.19516,0.000370551,0.000370551,0.000370551
8,15.7381,2.20005,3.70768,1.36816,0.00249,0.31481,0.00149,0.00055,1.99712,3.88614,1.19566,0.000422524,0.000422524,0.000422524
9,17.5207,2.02407,3.17475,1.28694,0.00419,0.63519,0.00305,0.00083,1.892,3.8638,1.15288,0.000473742,0.000473742,0.000473742
10,19.1599,2.13735,3.17747,1.3354,0.00435,0.67222,0.0032,0.00103,1.85887,3.86661,1.16634,0.000524206,0.000524206,0.000524206
11,20.8566,1.97879,2.87994,1.24904,0.00507,0.81296,0.00434,0.00148,1.88864,3.77137,1.16443,0.000573915,0.000573915,0.000573915
12,22.5477,1.81904,2.66107,1.198,0.00431,0.72963,0.00327,0.00137,1.90259,3.69945,1.12634,0.00062287,0.00062287,0.00062287
13,24.1434,1.92028,2.83645,1.19894,0.0031,0.48519,0.02978,0.00611,1.92154,3.82721,1.14039,0.00067107,0.00067107,0.00067107
14,25.8016,1.93402,2.74761,1.23229,0.0024,0.43148,0.02932,0.00612,1.94151,3.84088,1.17109,0.000718515,0.000718515,0.000718515
15,27.4858,1.87527,2.49366,1.21975,0.00413,0.73148,0.16733,0.07047,1.88897,3.6443,1.11498,0.000765207,0.000765207,0.000765207
